X,Y,sell_type,square,kind,total_price,images
37.584121227264,55.75148711272,Снять,65.7,Торговое помещение,252945.0,{"orig": "static/images/orig/9660095653.jpg"}
37.639869,55.733026,Покупка,49.0,Торговое помещение,34200000.0,{"orig": "static/images/orig/9883160899.jpg"}
37.539401,55.75052,Снять,145.0,Торговое помещение,906000.0,{"orig": "static/images/orig/9719843650.jpg"}
37.624397277831996,55.731689488943,Снять,485.78,Торговое помещение,2040360.0,{"orig": "static/images/orig/9747792421.jpg"}
37.624022,55.728687,Покупка,181.8,Помещение свободного назначения,105000000.0,{"orig": "static/images/orig/9748390023.jpg"}
37.577283,55.746998,Покупка,617.0,Офисное помещение,422494452.0,{"orig": "static/images/orig/3677195527.jpg"}
37.682503,55.702855,Снять,342.0,Торговое помещение,500000.0,{"orig": "static/images/orig/9513498661.jpg"}
37.5410169,55.7468496,Снять,951.0,Офисное помещение,3883250.0,{"orig": "static/images/orig/9374229032.jpg"}
37.653343,55.741901,Снять,470.0,Торговое помещение,4800000.0,{"orig": "static/images/orig/9935868485.jpg"}
37.537083,55.749512,Покупка,110.0,Торговое помещение,134999999.0,{"orig": "static/images/orig/10048017218.jpg"}
37.608526,55.714414,Покупка,64.0,Торговое помещение,36000000.0,{"orig": "static/images/orig/9767098735.jpg"}
37.610323,55.720814,Снять,1130.5,Офисное помещение,2543625.0,{"orig": "static/images/orig/9293390699.jpg"}
37.62369,55.717006,Снять,80.0,Торговое помещение,300000.0,{"orig": "static/images/orig/8653793856.jpg"}
37.540245,55.748179,Покупка,940.0,Офисное помещение,656225280.0,{"orig": "static/images/orig/8833386181.jpg"}
37.537083,55.749511,Покупка,122.0,Офисное помещение,54500000.0,{"orig": "static/images/orig/8222872316.jpg"}
37.666531,55.703388,Снять,20.0,Торговое помещение,100000.0,{"orig": "static/images/orig/10158678061.jpg"}
37.661437,55.744576,Покупка,376.0,Помещение свободного назначения,95000000.0,{"orig": "static/images/orig/9812964906.jpg"}
37.663737,55.73256,Снять,35.0,Торговое помещение,200000.0,{"orig": "static/images/orig/10109709646.jpg"}
37.569881,55.727658,Снять,1400.0,Помещение свободного назначения,2800000.0,{"orig": "static/images/orig/8701885905.jpg"}
37.6544602,55.7098504,Снять,694.0,Помещение общественного питания,2081700.0,{"orig": "static/images/orig/9360665545.jpg"}
37.639869,55.733026,Покупка,27.5,Торговое помещение,46200000.0,{"orig": "static/images/orig/9492915040.jpg"}
37.537083,55.749511,Покупка,90.0,Офисное помещение,42500000.0,{"orig": "static/images/orig/9909161083.jpg"}
37.63570900000001,55.754086,Снять,37.8,Офисное помещение,78750.0,{"orig": "static/images/orig/10058808064.jpg"}
37.596776,55.750054,Снять,315.0,Помещение свободного назначения,700000.0,{"orig": "static/images/orig/10087260430.jpg"}
37.610224,55.752607,Снять,1175.0,Офисное помещение,5522500.0,{"orig": "static/images/orig/10004603612.jpg"}
37.571561,55.732058,Снять,144.9,Торговое помещение,595200.0,{"orig": "static/images/orig/6270127540.jpg"}
37.599579,55.745656,Покупка,1003.8,Помещение свободного назначения,435000000.0,{"orig": "static/images/orig/9024484593.jpg"}
37.62978,55.726614,Снять,1167.0,Офисное помещение,2334000.0,{"orig": "static/images/orig/9717682069.jpg"}
37.665161,55.739895,Снять,100.0,Торговое помещение,91666.0,{"orig": "static/images/orig/10110536126.jpg"}
37.545267,55.744526,Снять,409.0,Торговое помещение,600000.0,{"orig": "static/images/orig/9528800598.jpg"}
37.540245,55.748179,Покупка,2953.0,Офисное помещение,1824883128.0,{"orig": "static/images/orig/9859080952.jpg"}
37.615255,55.718425,Покупка,100.0,Помещение свободного назначения,1300000.0,{"orig": "static/images/orig/9086427601.jpg"}
37.606559,55.707852,Покупка,46.0,Помещение свободного назначения,13345000.0,{"orig": "static/images/orig/9926295769.jpg"}
37.657305,55.753889,Снять,450.0,Торговое помещение,2745000.0,{"orig": "static/images/orig/10157408759.jpg"}
37.605508,55.739732,Снять,1200.0,Офисное помещение,5234000.0,{"orig": "static/images/orig/9934694709.jpg"}
37.6587311000001,55.7085497,Снять,55.0,Торговое помещение,570000.0,{"orig": "static/images/orig/9764248642.jpg"}
37.614994,55.736938,Покупка,1459.0,Помещение свободного назначения,450000000.0,{"orig": "static/images/orig/8713923117.jpg"}
37.532637,55.751796,Снять,3235.0,Офисное помещение,9704988.0,{"orig": "static/images/orig/9859081644.jpg"}
37.668984588608,55.752726059584,Снять,55.8,Офисное помещение,38525.0,{"orig": "static/images/orig/9997586240.jpg"}
