geometry,Rank,Kind
"POLYGON ((37.53100401760416 55.74245373806783, 37.53165232081805 55.74308582552559, 37.5329489272458 55.74308582552559, 37.53359723045968 55.74245373806783, 37.5329489272458 55.74182164037129, 37.53165232081805 55.74182164037129, 37.53100401760416 55.74245373806783))",77.21703970995888,beauty
"POLYGON ((37.53489383688744 55.74371790274467, 37.53554214010132 55.74434996972515, 37.53683874652908 55.74434996972515, 37.53748704974296 55.74371790274467, 37.53683874652908 55.74308582552559, 37.53554214010132 55.74308582552559, 37.53489383688744 55.74371790274467))",65.59354223651684,beauty
"POLYGON ((37.53489383688744 55.74245373806783, 37.53554214010132 55.74308582552559, 37.53683874652908 55.74308582552559, 37.53748704974296 55.74245373806783, 37.53683874652908 55.74182164037129, 37.53554214010132 55.74182164037129, 37.53489383688744 55.74245373806783))",70.41919301236301,beauty
"POLYGON ((37.53489383688744 55.73866099830391, 37.53554214010132 55.73929314719565, 37.53683874652908 55.73929314719565, 37.53748704974296 55.73866099830391, 37.53683874652908 55.73802883917287, 37.53554214010132 55.73802883917287, 37.53489383688744 55.73866099830391))",65.77079971721753,beauty
"POLYGON ((37.53683874652908 55.74308582552559, 37.53748704974296 55.74371790274467, 37.53878365617071 55.74371790274467, 37.53943195938459 55.74308582552559, 37.53878365617071 55.74245373806783, 37.53748704974296 55.74245373806783, 37.53683874652908 55.74308582552559))",65.17230167593313,beauty
"POLYGON ((37.53683874652908 55.74055741426155, 37.53748704974296 55.7411895324359, 37.53878365617071 55.7411895324359, 37.53943195938459 55.74055741426155, 37.53878365617071 55.73992528584817, 37.53748704974296 55.73992528584817, 37.53683874652908 55.74055741426155))",67.18427662136735,beauty
"POLYGON ((37.53683874652908 55.73929314719565, 37.53748704974296 55.73992528584817, 37.53878365617071 55.73992528584817, 37.53943195938459 55.73929314719565, 37.53878365617071 55.73866099830391, 37.53748704974296 55.73866099830391, 37.53683874652908 55.73929314719565))",65.67193630577704,beauty
"POLYGON ((37.53683874652908 55.73802883917287, 37.53748704974296 55.73866099830391, 37.53878365617071 55.73866099830391, 37.53943195938459 55.73802883917287, 37.53878365617071 55.73739666980244, 37.53748704974296 55.73739666980244, 37.53683874652908 55.73802883917287))",64.24158765343616,beauty
"POLYGON ((37.53878365617071 55.74371790274467, 37.53943195938459 55.74434996972515, 37.54072856581235 55.74434996972515, 37.54137686902624 55.74371790274467, 37.54072856581235 55.74308582552559, 37.53943195938459 55.74308582552559, 37.53878365617071 55.74371790274467))",66.93772391146834,beauty
"POLYGON ((37.53878365617071 55.7411895324359, 37.53943195938459 55.74182164037129, 37.54072856581235 55.74182164037129, 37.54137686902624 55.7411895324359, 37.54072856581235 55.74055741426155, 37.53943195938459 55.74055741426155, 37.53878365617071 55.7411895324359))",67.77570490721722,beauty
