Y,X,sell_type,square,kind,total_price,images
55.730633999999995,37.628190000000004,Снять,1884.0,Офисное помещение,8478000,"{""main"": {""75x55"": ""https://42.img.avito.st/image/1/n4JaNrawM2t6lF_tMW6xI-yXOWF6lF9p7A"", ""80x60"": ""https://42.img.avito.st/image/1/n4JaNra5M2tMlEntMW6xI-yROWFMlolr7JU3a0yUSWk"", ""100x75"": ""https://42.img.avito.st/image/1/n4JaNra_M2sklKdoaEjK6aaVNWHkNTLR7pUxb-5dMP_tlQ"", ""140x105"": ""https://42.img.avito.st/image/1/n4JaNra_M2t0l-NoaEjK6aaVNWHkNTLR7pUxb-4NM7vtlQ"", ""208x156"": ""https://42.img.avito.st/208x156/9933125442.jpg"", ""240x180"": ""https://42.img.avito.st/image/1/n4JaNra2M2sMltlraEjK6aaVM2HkdTKB7pUx"", ""288x216"": ""https://42.img.avito.st/image/1/n4JaNra2M2sskYFqaEjK6aaVM2HkVTXZ75Ux"", ""432x324"": ""https://42.img.avito.st/image/1/n4JaNrauM2sMk7lsaEjK6aaVMQ"", ""640x480"": ""https://42.img.avito.st/640x480/9933125442.jpg"", ""1280x960"": ""https://42.img.avito.st/image/1/n4JaNraxM2tsgbFmaEjK6aaVM2_mlzlp"", ""140x105_nocrop"": ""https://42.img.avito.st/image/1/n4JaNrauM2t0l-NoaEjK6aaVMQ""}, ""count"": 5}"
55.703143999999995,37.623313,Покупка,336.0,Помещение свободного назначения,100000000,"{""main"": {""100x75"": ""https://20.img.avito.st/100x75/9917963820.jpg"", ""140x105"": ""https://20.img.avito.st/140x105/9917963820.jpg"", ""240x180"": ""https://20.img.avito.st/240x180/9917963820.jpg"", ""432x324"": ""https://20.img.avito.st/432x324/9917963820.jpg"", ""640x480"": ""https://20.img.avito.st/640x480/9917963820.jpg"", ""1280x960"": ""https://20.img.avito.st/1280x960/9917963820.jpg""}, ""count"": 1}"
55.70998955,37.59808399,Покупка,71.0,Торговое помещение,32000000,"{""main"": {""75x55"": ""https://64.img.avito.st/image/1/aaOoeLawxUqI2qmgnBNhAh7Zz0CI2qlIHg"", ""80x60"": ""https://64.img.avito.st/image/1/aaOoeLa5xUq-2r-gnBNhAh7fz0C-2H9KHtvBSr7av0g"", ""100x75"": ""https://64.img.avito.st/image/1/aaOoeLa_xUrW2lFJ9lkP7lTbw0AWe8TwHNvHThwTxt4f2w"", ""140x105"": ""https://64.img.avito.st/image/1/aaOoeLa_xUqG2RVJ9lkP7lTbw0AWe8TwHNvHThxDxZof2w"", ""208x156"": ""https://64.img.avito.st/208x156/9972547764.jpg"", ""240x180"": ""https://64.img.avito.st/image/1/aaOoeLa2xUr-2C9K9lkP7lTbxUAWO8SgHNvH"", ""288x216"": ""https://64.img.avito.st/image/1/aaOoeLa2xUre33dL9lkP7lTbxUAWG8P4HdvH"", ""432x324"": ""https://64.img.avito.st/image/1/aaOoeLauxUr-3U9N9lkP7lTbxw"", ""640x480"": ""https://64.img.avito.st/640x480/9972547764.jpg"", ""1280x960"": ""https://64.img.avito.st/image/1/aaOoeLaxxUqez0dH9lkP7lTbxU4U2c9I"", ""140x105_nocrop"": ""https://64.img.avito.st/image/1/aaOoeLauxUqG2RVJ9lkP7lTbxw""}, ""count"": 3}"
55.742561,37.628155,Покупка,29.0,Помещение свободного назначения,100010000,"{""main"": {""75x55"": ""https://20.img.avito.st/image/1/pdQBBrawCT0hpGXPGlOOfbenAzchpGU_tw"", ""80x60"": ""https://20.img.avito.st/image/1/pdQBBra5CT0XpHPPGlOOfbehAzcXprM9t6UNPRekcz8"", ""100x75"": ""https://20.img.avito.st/image/1/pdQBBra_CT1_pJ0-Rwj9uvWlDze_BQiHtaULObVtCqm2pQ"", ""140x105"": ""https://20.img.avito.st/image/1/pdQBBra_CT0vp9k-Rwj9uvWlDze_BQiHtaULObU9Ce22pQ"", ""208x156"": ""https://20.img.avito.st/208x156/8864582520.jpg"", ""240x180"": ""https://20.img.avito.st/image/1/pdQBBra2CT1XpuM9Rwj9uvWlCTe_RQjXtaUL"", ""288x216"": ""https://20.img.avito.st/image/1/pdQBBra2CT13obs8Rwj9uvWlCTe_ZQ-PtKUL"", ""432x324"": ""https://20.img.avito.st/image/1/pdQBBrauCT1Xo4M6Rwj9uvWlCw"", ""640x480"": ""https://20.img.avito.st/640x480/8864582520.jpg"", ""1280x960"": ""https://20.img.avito.st/image/1/pdQBBraxCT03sYswRwj9uvWlCTm9pwM_"", ""140x105_nocrop"": ""https://20.img.avito.st/image/1/pdQBBrauCT0vp9k-Rwj9uvWlCw""}, ""count"": 6}"
55.728065,37.571912,Снять,240.0,Торговое помещение,900000,"{""main"": {""75x55"": ""https://09.img.avito.st/image/1/kO_fS7awPAb_6VCe2CGLTGnqNgz_6VAEaQ"", ""80x60"": ""https://09.img.avito.st/image/1/kO_fS7a5PAbJ6Uae2CGLTGnsNgzJ64YGaeg4BsnpRgQ"", ""100x75"": ""https://09.img.avito.st/image/1/kO_fS7a_PAah6agF81n3sSHoOgxhSD28a-g-AmsgP5Jo6A"", ""140x105"": ""https://09.img.avito.st/image/1/kO_fS7a_PAbx6uwF81n3sSHoOgxhSD28a-g-AmtwPNZo6A"", ""208x156"": ""https://09.img.avito.st/208x156/9719852109.jpg"", ""240x180"": ""https://09.img.avito.st/image/1/kO_fS7a2PAaJ69YG81n3sSHoPAxhCD3sa-g-"", ""288x216"": ""https://09.img.avito.st/image/1/kO_fS7a2PAap7I4H81n3sSHoPAxhKDq0aug-"", ""432x324"": ""https://09.img.avito.st/image/1/kO_fS7auPAaJ7rYB81n3sSHoPg"", ""640x480"": ""https://09.img.avito.st/640x480/9719852109.jpg"", ""1280x960"": ""https://09.img.avito.st/image/1/kO_fS7axPAbp_L4L81n3sSHoPAJj6jYE"", ""140x105_nocrop"": ""https://09.img.avito.st/image/1/kO_fS7auPAbx6uwF81n3sSHoPg""}, ""count"": 15}"
55.739554000000005,37.597414,Снять,510.0,Помещение свободного назначения,2495999,"{""main"": {""75x55"": ""https://88.img.avito.st/image/1/ZRFT_LawyfhzXqUKY-w7s-Vdw_JzXqX65Q"", ""80x60"": ""https://88.img.avito.st/image/1/ZRFT_La5yfhFXrMKY-w7s-Vbw_JFXHP45V_N-EVes_o"", ""100x75"": ""https://88.img.avito.st/image/1/ZRFT_La_yfgtXl37Fdl4Cqxfz_Lt_8hC51_L_OeXymzkXw"", ""140x105"": ""https://88.img.avito.st/image/1/ZRFT_La_yfh9XRn7Fdl4Cqxfz_Lt_8hC51_L_OfHySjkXw"", ""208x156"": ""https://88.img.avito.st/208x156/9915752888.jpg"", ""240x180"": ""https://88.img.avito.st/image/1/ZRFT_La2yfgFXCP4Fdl4CqxfyfLtv8gS51_L"", ""288x216"": ""https://88.img.avito.st/image/1/ZRFT_La2yfglW3v5Fdl4CqxfyfLtn89K5l_L"", ""432x324"": ""https://88.img.avito.st/image/1/ZRFT_LauyfgFWUP_Fdl4Cqxfyw"", ""640x480"": ""https://88.img.avito.st/640x480/9915752888.jpg"", ""1280x960"": ""https://88.img.avito.st/image/1/ZRFT_LaxyfhlS0v1Fdl4CqxfyfzvXcP6"", ""140x105_nocrop"": ""https://88.img.avito.st/image/1/ZRFT_Lauyfh9XRn7Fdl4Cqxfyw""}, ""count"": 7}"
55.70835400000001,37.652705,Покупка,224.0,Офисное помещение,42560000,"{""main"": {""75x55"": ""https://20.img.avito.st/image/1/KUfvNbawha7Pl-lEzjV6hlmUj6TPl-msWQ"", ""80x60"": ""https://20.img.avito.st/image/1/KUfvNba5ha75l_9EzjV6hlmSj6T5lT-uWZaBrvmX_6w"", ""100x75"": ""https://20.img.avito.st/image/1/KUfvNba_ha6RlxGtsQEkUXOWg6RRNoQUW5aHqltehjpYlg"", ""140x105"": ""https://20.img.avito.st/image/1/KUfvNba_ha7BlFWtsQEkUXOWg6RRNoQUW5aHqlsOhX5Ylg"", ""208x156"": ""https://20.img.avito.st/208x156/5768504820.jpg"", ""240x180"": ""https://20.img.avito.st/image/1/KUfvNba2ha65lW-usQEkUXOWhaRRdoREW5aH"", ""288x216"": ""https://20.img.avito.st/image/1/KUfvNba2ha6ZkjevsQEkUXOWhaRRVoMcWpaH"", ""432x324"": ""https://20.img.avito.st/image/1/KUfvNbauha65kA-psQEkUXOWhw"", ""640x480"": ""https://20.img.avito.st/640x480/5768504820.jpg"", ""1280x960"": ""https://20.img.avito.st/image/1/KUfvNbaxha7ZggejsQEkUXOWhapTlI-s"", ""140x105_nocrop"": ""https://20.img.avito.st/image/1/KUfvNbauha7BlFWtsQEkUXOWhw""}, ""count"": 6}"
55.75148711271999,37.584121227264,Снять,65.7,Торговое помещение,252945,"{""main"": {""75x55"": ""https://53.img.avito.st/image/1/eJ16u7aw1HRaGbi8PtIqMcwa3n5aGbh2zA"", ""80x60"": ""https://53.img.avito.st/image/1/eJ16u7a51HRsGa68PtIqMcwc3n5sG250zBjQdGwZrnY"", ""100x75"": ""https://53.img.avito.st/image/1/eJ16u7a_1HQEGUB3BuociosY0n7EuNXOzhjWcM7Q1-DNGA"", ""140x105"": ""https://53.img.avito.st/image/1/eJ16u7a_1HRUGgR3BuociosY0n7EuNXOzhjWcM6A1KTNGA"", ""208x156"": ""https://53.img.avito.st/208x156/9660095653.jpg"", ""240x180"": ""https://53.img.avito.st/image/1/eJ16u7a21HQsGz50BuociosY1H7E-NWezhjW"", ""288x216"": ""https://53.img.avito.st/image/1/eJ16u7a21HQMHGZ1BuociosY1H7E2NLGzxjW"", ""432x324"": ""https://53.img.avito.st/image/1/eJ16u7au1HQsHl5zBuociosY1g"", ""640x480"": ""https://53.img.avito.st/640x480/9660095653.jpg"", ""1280x960"": ""https://53.img.avito.st/image/1/eJ16u7ax1HRMDFZ5BuociosY1HDGGt52"", ""140x105_nocrop"": ""https://53.img.avito.st/image/1/eJ16u7au1HRUGgR3BuociosY1g""}, ""count"": 11}"
55.733026,37.639869,Покупка,49.0,Торговое помещение,34200000,"{""main"": {""75x55"": ""https://99.img.avito.st/image/1/nkJaj7awMqt6LV4vKYTh4OwuOKF6LV6p7A"", ""80x60"": ""https://99.img.avito.st/image/1/nkJaj7a5MqtMLUgvKYTh4OwoOKFML4ir7Cw2q0wtSKk"", ""100x75"": ""https://99.img.avito.st/image/1/nkJaj7a_MqskLaaoaumYeKUsNKHkjDMR7iwwr-7kMT_tLA"", ""140x105"": ""https://99.img.avito.st/image/1/nkJaj7a_Mqt0LuKoaumYeKUsNKHkjDMR7iwwr-60MnvtLA"", ""208x156"": ""https://99.img.avito.st/208x156/9883160899.jpg"", ""240x180"": ""https://99.img.avito.st/image/1/nkJaj7a2MqsML9iraumYeKUsMqHkzDNB7iww"", ""288x216"": ""https://99.img.avito.st/image/1/nkJaj7a2MqssKICqaumYeKUsMqHk7DQZ7yww"", ""432x324"": ""https://99.img.avito.st/image/1/nkJaj7auMqsMKrisaumYeKUsMA"", ""640x480"": ""https://99.img.avito.st/640x480/9883160899.jpg"", ""1280x960"": ""https://99.img.avito.st/image/1/nkJaj7axMqtsOLCmaumYeKUsMq_mLjip"", ""140x105_nocrop"": ""https://99.img.avito.st/image/1/nkJaj7auMqt0LuKoaumYeKUsMA""}, ""count"": 5}"
55.750519999999995,37.539401,Снять,145.0,Торговое помещение,906000,"{""main"": {""75x55"": ""https://50.img.avito.st/image/1/n6T2zrawM03WbF_L7aWEB0BvOUfWbF9PQA"", ""80x60"": ""https://50.img.avito.st/image/1/n6T2zra5M03gbEnL7aWEB0BpOUfgbolNQG03TeBsSU8"", ""100x75"": ""https://50.img.avito.st/image/1/n6T2zra_M02IbKdOxMD5-ghtNUdIzTL3Qm0xSUKlMNlBbQ"", ""140x105"": ""https://50.img.avito.st/image/1/n6T2zra_M03Yb-NOxMD5-ghtNUdIzTL3Qm0xSUL1M51BbQ"", ""208x156"": ""https://50.img.avito.st/208x156/9719843650.jpg"", ""240x180"": ""https://50.img.avito.st/image/1/n6T2zra2M02gbtlNxMD5-ghtM0dIjTKnQm0x"", ""288x216"": ""https://50.img.avito.st/image/1/n6T2zra2M02AaYFMxMD5-ghtM0dIrTX_Q20x"", ""432x324"": ""https://50.img.avito.st/image/1/n6T2zrauM02ga7lKxMD5-ghtMQ"", ""640x480"": ""https://50.img.avito.st/640x480/9719843650.jpg"", ""1280x960"": ""https://50.img.avito.st/image/1/n6T2zraxM03AebFAxMD5-ghtM0lKbzlP"", ""140x105_nocrop"": ""https://50.img.avito.st/image/1/n6T2zrauM03Yb-NOxMD5-ghtMQ""}, ""count"": 3}"
