geometry,cell_id,Rank,Kind
"POLYGON ((37.53100401760416 55.74245373806783, 37.53165232081805 55.74308582552559, 37.5329489272458 55.74308582552559, 37.53359723045968 55.74245373806783, 37.5329489272458 55.74182164037129, 37.53165232081805 55.74182164037129, 37.53100401760416 55.74245373806783))",10,1.5384615384615383,supermarket
"POLYGON ((37.53489383688744 55.74371790274467, 37.53554214010132 55.74434996972515, 37.53683874652908 55.74434996972515, 37.53748704974296 55.74371790274467, 37.53683874652908 55.74308582552559, 37.53554214010132 55.74308582552559, 37.53489383688744 55.74371790274467))",93,1.5384615384615383,supermarket
"POLYGON ((37.53489383688744 55.74245373806783, 37.53554214010132 55.74308582552559, 37.53683874652908 55.74308582552559, 37.53748704974296 55.74245373806783, 37.53683874652908 55.74182164037129, 37.53554214010132 55.74182164037129, 37.53489383688744 55.74245373806783))",94,1.5384615384615383,supermarket
"POLYGON ((37.53489383688744 55.73866099830391, 37.53554214010132 55.73929314719565, 37.53683874652908 55.73929314719565, 37.53748704974296 55.73866099830391, 37.53683874652908 55.73802883917287, 37.53554214010132 55.73802883917287, 37.53489383688744 55.73866099830391))",97,3.0769230769230766,supermarket
"POLYGON ((37.53683874652908 55.74308582552559, 37.53748704974296 55.74371790274467, 37.53878365617071 55.74371790274467, 37.53943195938459 55.74308582552559, 37.53878365617071 55.74245373806783, 37.53748704974296 55.74245373806783, 37.53683874652908 55.74308582552559))",135,1.5384615384615383,supermarket
"POLYGON ((37.53683874652908 55.74055741426155, 37.53748704974296 55.7411895324359, 37.53878365617071 55.7411895324359, 37.53943195938459 55.74055741426155, 37.53878365617071 55.73992528584817, 37.53748704974296 55.73992528584817, 37.53683874652908 55.74055741426155))",137,3.0769230769230766,supermarket
"POLYGON ((37.53683874652908 55.73929314719565, 37.53748704974296 55.73992528584817, 37.53878365617071 55.73992528584817, 37.53943195938459 55.73929314719565, 37.53878365617071 55.73866099830391, 37.53748704974296 55.73866099830391, 37.53683874652908 55.73929314719565))",138,4.615384615384615,supermarket
"POLYGON ((37.53683874652908 55.73802883917287, 37.53748704974296 55.73866099830391, 37.53878365617071 55.73866099830391, 37.53943195938459 55.73802883917287, 37.53878365617071 55.73739666980244, 37.53748704974296 55.73739666980244, 37.53683874652908 55.73802883917287))",139,1.5384615384615383,supermarket
"POLYGON ((37.53878365617071 55.74371790274467, 37.53943195938459 55.74434996972515, 37.54072856581235 55.74434996972515, 37.54137686902624 55.74371790274467, 37.54072856581235 55.74308582552559, 37.53943195938459 55.74308582552559, 37.53878365617071 55.74371790274467))",177,1.5384615384615383,supermarket
"POLYGON ((37.53878365617071 55.7411895324359, 37.53943195938459 55.74182164037129, 37.54072856581235 55.74182164037129, 37.54137686902624 55.7411895324359, 37.54072856581235 55.74055741426155, 37.53943195938459 55.74055741426155, 37.53878365617071 55.7411895324359))",179,1.5384615384615383,supermarket
"POLYGON ((37.53878365617071 55.73992528584817, 37.53943195938459 55.74055741426155, 37.54072856581235 55.74055741426155, 37.54137686902624 55.73992528584817, 37.54072856581235 55.73929314719565, 37.53943195938459 55.73929314719565, 37.53878365617071 55.73992528584817))",180,9.23076923076923,supermarket
"POLYGON ((37.53878365617071 55.73866099830391, 37.53943195938459 55.73929314719565, 37.54072856581235 55.73929314719565, 37.54137686902624 55.73866099830391, 37.54072856581235 55.73802883917287, 37.53943195938459 55.73802883917287, 37.53878365617071 55.73866099830391))",181,4.615384615384615,supermarket
"POLYGON ((37.53878365617071 55.73739666980244, 37.53943195938459 55.73802883917287, 37.54072856581235 55.73802883917287, 37.54137686902624 55.73739666980244, 37.54072856581235 55.73676449019251, 37.53943195938459 55.73676449019251, 37.53878365617071 55.73739666980244))",182,1.5384615384615383,supermarket
"POLYGON ((37.54072856581235 55.74434996972515, 37.54137686902624 55.74498202646713, 37.542673475454 55.74498202646713, 37.54332177866787 55.74434996972515, 37.542673475454 55.74371790274467, 37.54137686902624 55.74371790274467, 37.54072856581235 55.74434996972515))",218,1.5384615384615383,supermarket
"POLYGON ((37.54072856581235 55.74308582552559, 37.54137686902624 55.74371790274467, 37.542673475454 55.74371790274467, 37.54332177866787 55.74308582552559, 37.542673475454 55.74245373806783, 37.54137686902624 55.74245373806783, 37.54072856581235 55.74308582552559))",219,1.5384615384615383,supermarket
"POLYGON ((37.54072856581235 55.74055741426155, 37.54137686902624 55.7411895324359, 37.542673475454 55.7411895324359, 37.54332177866787 55.74055741426155, 37.542673475454 55.73992528584817, 37.54137686902624 55.73992528584817, 37.54072856581235 55.74055741426155))",221,6.153846153846153,supermarket
"POLYGON ((37.54072856581235 55.73929314719565, 37.54137686902624 55.73992528584817, 37.542673475454 55.73992528584817, 37.54332177866787 55.73929314719565, 37.542673475454 55.73866099830391, 37.54137686902624 55.73866099830391, 37.54072856581235 55.73929314719565))",222,6.153846153846153,supermarket
"POLYGON ((37.54072856581235 55.73802883917287, 37.54137686902624 55.73866099830391, 37.542673475454 55.73866099830391, 37.54332177866787 55.73802883917287, 37.542673475454 55.73739666980244, 37.54137686902624 55.73739666980244, 37.54072856581235 55.73802883917287))",223,3.0769230769230766,supermarket
"POLYGON ((37.542673475454 55.74498202646713, 37.54332177866787 55.74561407297069, 37.54461838509563 55.74561407297069, 37.54526668830951 55.74498202646713, 37.54461838509563 55.74434996972515, 37.54332177866787 55.74434996972515, 37.542673475454 55.74498202646713))",260,3.0769230769230766,supermarket
"POLYGON ((37.542673475454 55.74371790274467, 37.54332177866787 55.74434996972515, 37.54461838509563 55.74434996972515, 37.54526668830951 55.74371790274467, 37.54461838509563 55.74308582552559, 37.54332177866787 55.74308582552559, 37.542673475454 55.74371790274467))",261,1.5384615384615383,supermarket
